Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,plx,e_plx,pmRA*,pmDE,logt,e_logt,N,Ref
King_15          ,8.178,61.896,120.728,-0.895,0.33,0.024,-1.975,-0.849,8.4,      ,30,MWSC
NGC_146          ,8.124,63.229,120.801,0.436,0.402,0.025,-3.266,-1.041,7.701,0.214,21,MWSC
NGC_189          ,9.873,61.118,121.489,-1.72,0.779,0.026,0.304,-3.363,8.709,0.047,27,MWSC
Stock_24         ,9.93,61.973,121.555,-0.867,0.343,0.021,-1.34,-0.057,7.985,      ,44,MWSC
Dolidze_12       ,10.19,60.867,121.632,-1.978,0.362,0.024,-2.517,-0.73,9.135,0.022,30,MWSC
FSR_0508         ,10.463,64.97,121.918,2.117,0.368,0.033,-2.113,-0.445,6.67,      ,34,MWSC
Dias_1           ,10.642,64.056,121.962,1.201,0.347,0.023,-2.678,-0.56,7.9,      ,70,MWSC
NGC_225          ,10.655,61.786,121.89,-1.068,0.469,0.037,-2.039,-1.1,8.191,0.058,31,MWSC
Czernik_2        ,10.953,60.18,121.983,-2.677,0.514,0.03,-3.994,-1.026,9.123,0.036,21,MWSC
King_16          ,10.909,64.173,122.082,1.314,0.331,0.021,-2.79,-0.488,7.8,      ,86,MWSC
FSR_0507         ,11.012,52.389,121.786,-10.466,0.474,0.038,-0.619,-1.244,9,      ,31,MWSC
Berkeley_4       ,11.269,64.396,122.244,1.533,0.315,0.022,-2.342,-0.285,7.3,      ,118,MWSC
NGC_188          ,11.87,85.239,122.843,22.37,0.525,0.025,-2.326,-1.023,9.65,      ,299,MWSC
Berkeley_61      ,12.094,67.183,122.634,4.313,0.351,0.028,-1.786,-0.129,8.985,0.015,56,MWSC
Dolidze_13       ,12.501,64.115,122.775,1.244,0.298,0.023,-2.07,-0.257,8.962,0.04,68,MWSC
FSR_0515         ,12.687,54.787,122.832,-8.084,0.406,0.025,-0.998,-1.202,9.275,      ,35,MWSC
FSR_0516         ,12.551,66.002,122.806,3.131,0.275,0.019,-1.619,-0.04,8.83,0.052,42,MWSC
King_2           ,12.731,58.201,122.864,-4.67,0.154,0.075,-1.387,-0.858,9.67,      ,37,MWSC
FSR_0519         ,13.161,64.65,123.061,1.778,0.34,0.017,-2.15,-0.221,7.35,      ,34,MWSC
FSR_0521         ,13.252,59.859,123.129,-3.012,0.279,0.015,-0.894,-0.297,9.21,0.053,54,MWSC
ASCC_4           ,13.37,61.625,123.175,-1.246,0.542,0.02,-1.59,-0.256,8.65,      ,71,MWSC
Alessi_1         ,13.311,49.515,123.233,-13.355,1.414,0.032,6.505,-6.393,8.84,      ,30,MWSC
FSR_0522         ,13.432,65.788,123.167,2.917,0.259,0.012,-1.735,-0.357,8.55,      ,40,MWSC
FSR_0524         ,14.349,62.125,123.628,-0.738,0.251,0.017,-1.656,-0.3,9.19,      ,43,MWSC
ASCC_5           ,14.407,55.888,123.806,-6.973,0.221,0.086,-1.368,-0.657,7.78,      ,37,MWSC
Skiff_J0058+68.4 ,14.596,68.466,123.572,5.603,0.365,0.024,-2.067,0.317,9.01,0.012,158,MWSC
Berkeley_62      ,15.293,63.928,124.002,1.076,0.342,0.023,-2.055,-0.332,7.3,      ,83,MWSC
Czernik_3        ,15.8,62.794,124.276,-0.047,0.399,0.022,-0.357,-0.374,8.8,      ,31,MWSC
NGC_366          ,16.617,62.219,124.682,-0.602,0.356,0.024,-2.066,-0.513,7.9,      ,71,MWSC
NGC_381          ,17.108,61.592,124.952,-1.213,0.862,0.03,1.588,-2.33,8.85,0.029,70,MWSC
Stock_3          ,18.094,62.259,125.366,-0.514,0.359,0.019,-1.85,-0.426,7.85,      ,38,MWSC
NGC_433          ,18.817,60.14,125.897,-2.594,0.482,0.031,-1.463,-0.811,7.81,      ,66,MWSC
NGC_436          ,18.995,58.831,126.11,-3.889,0.284,0.019,-0.975,-0.641,7.925,      ,76,MWSC
FSR_0537         ,19.712,60.35,126.319,-2.341,0.273,0.019,-1.081,-0.886,9,      ,52,Cantat-Gaudin et al. 2018
NGC_457          ,19.884,58.28,126.63,-4.39,0.329,0.02,-1.577,-0.755,7.38,      ,153,MWSC
FSR_0544         ,19.955,52.672,127.293,-9.959,0.351,0.021,-1.133,-0.899,8.906,0.02,12,MWSC
FSR_0536         ,19.919,63.058,126.124,0.361,0.269,0.019,-1.671,-0.159,8.397,      ,69,MWSC
FSR_0538         ,20.493,63.675,126.309,1.004,0.443,0.026,-1.339,-0.056,8.86,0.018,73,MWSC
FSR_0542         ,21.403,62.996,126.8,0.381,0.351,0.022,-1.953,-0.256,8.35,      ,90,MWSC
SAI_14           ,21.467,62.635,126.877,0.027,0.264,0.024,-1.579,-0.541,9.45,      ,74,MWSC
FSR_0560         ,21.942,44.162,129.779,-18.226,0.72,0.029,1.811,-2.597,8.355,      ,22,MWSC
NGC_559          ,22.383,63.307,127.194,0.751,0.334,0.022,-4.273,0.204,8.8,      ,95,MWSC
NGC_581          ,23.319,60.668,128.037,-1.789,0.358,0.022,-1.385,-0.574,7.44,      ,84,MWSC
FSR_0531         ,23.5,74.734,125.782,12.098,0.246,0.018,-0.68,0.496,9.4,      ,43,MWSC
Czernik_4        ,23.875,61.488,128.166,-0.936,0.413,0.027,-1.074,-0.019,7.715,      ,19,MWSC
Trumpler_1       ,23.928,61.285,128.225,-1.131,0.327,0.02,-1.51,-0.529,7.1,      ,29,MWSC
NGC_609          ,24.1,64.53,127.744,2.079,0.169,0.014,-0.707,-0.101,9.15,      ,79,MWSC
FSR_0546         ,24.34,65.838,127.613,3.385,0.306,0.022,-1.133,0.231,9,      ,75,MWSC
FSR_0551         ,24.966,64.859,128.049,2.47,1.085,0.035,0.059,-1.494,6.68,      ,52,Cantat-Gaudin et al. 2018
FSR_0553         ,25.196,64.526,128.208,2.161,0.374,0.031,-3.341,0.029,8.6,      ,19,MWSC
NGC_637          ,25.753,64.048,128.539,1.739,0.31,0.016,-1.316,-0.067,6.74,      ,31,MWSC
FSR_0539         ,25.745,74.407,126.444,11.888,0.467,0.031,-0.365,0.061,9.305,0.053,53,MWSC
NGC_657          ,25.817,55.831,130.211,-6.307,0.27,0.02,-1.107,-1.199,9,      ,33,MWSC
NGC_654          ,25.996,61.886,129.08,-0.357,0.331,0.021,-1.11,-0.322,7.25,      ,70,MWSC
NGC_659          ,26.098,60.669,129.375,-1.538,0.31,0.021,-0.861,-0.338,7.762,0.193,94,MWSC
NGC_663          ,26.589,61.224,129.493,-0.946,0.346,0.022,-1.132,-0.337,7.5,      ,173,MWSC
Collinder_463    ,27.267,71.765,127.458,9.403,1.15,0.029,-1.718,-0.33,8.45,0.066,92,MWSC
ASCC_6           ,26.845,57.718,130.369,-4.343,0.632,0.025,-0.831,0.111,7.8,      ,33,MWSC
Berkeley_5       ,26.892,62.917,129.27,0.738,0.158,0.013,-1.25,0.115,8.83,      ,38,MWSC
Berkeley_6       ,27.803,61.062,130.1,-0.975,0.361,0.027,-0.963,-0.49,8.6,      ,142,MWSC
IC_166           ,28.121,61.866,130.062,-0.158,0.221,0.017,-1.436,1.07,9,0.011,134,MWSC
Stock_4          ,28.279,57.015,131.285,-4.853,0.32,0.019,-0.754,-0.185,8.6,      ,37,MWSC
Berkeley_7       ,28.57,62.369,130.146,0.381,0.347,0.023,-0.957,-0.334,7.25,      ,77,MWSC
Czernik_5        ,28.936,61.361,130.559,-0.555,0.341,0.026,-1.768,0.22,8.615,      ,86,MWSC
NGC_752          ,29.171,37.791,136.916,-23.301,2.263,0.042,9.72,-11.822,9.13,      ,130,MWSC
IRAS_01546+6319  ,29.349,63.471,130.218,1.537,0.258,0.019,-0.863,0.248,6.59,      ,187,MWSC
NGC_744          ,29.642,55.471,132.407,-6.161,0.736,0.036,-1.875,-1.86,8.375,      ,65,MWSC
NGC_743          ,29.628,60.138,131.195,-1.653,0.916,0.033,-0.082,-1.733,8.29,0.09,35,MWSC
ASCC_7           ,29.8,58.915,131.595,-2.812,0.416,0.027,-0.654,-0.656,7.4,      ,108,MWSC
FSR_0558         ,30.151,67.806,129.412,5.808,0.347,0.024,-1.034,0.683,8.8,      ,46,MWSC
Berkeley_8       ,30.367,75.468,127.379,13.204,0.283,0.017,2.669,0.351,9.3,      ,102,MWSC
Czernik_6        ,30.46,62.85,130.864,1.068,0.382,0.024,-0.826,-0.072,7.98,      ,52,MWSC
Czernik_7        ,30.762,62.245,131.163,0.523,0.375,0.027,-0.953,-0.164,9.116,0.017,84,MWSC
Stock_5          ,31.091,64.361,130.72,2.598,1.027,0.027,-0.787,-2.173,7.7,      ,22,MWSC
SAI_16           ,31.386,62.262,131.437,0.62,0.278,0.02,-0.813,-0.348,9.15,      ,35,MWSC
FSR_0561         ,31.507,67.738,129.927,5.885,0.424,0.018,-0.449,0.301,8.24,0.07,26,MWSC
Riddle_4         ,31.873,60.259,132.235,-1.232,0.38,0.028,-0.77,-0.463,7.35,      ,46,MWSC
IRAS_02044+6031  ,32.066,60.768,132.177,-0.717,0.419,0.023,-0.756,-0.311,6.25,      ,59,MWSC
IRAS_02054+6011  ,32.183,60.434,132.331,-1.02,0.468,0.034,-0.486,-0.689,6.8,      ,31,MWSC
Stock_2          ,33.729,59.625,133.314,-1.548,2.669,0.044,15.826,-13.712,8.44,      ,310,MWSC
NGC_869          ,34.941,57.131,134.729,-3.703,0.406,0.025,-0.644,-1.149,7.28,      ,579,MWSC
Berkeley_63      ,34.899,63.739,132.499,2.516,0.258,0.017,-0.82,0.098,8.9,      ,62,MWSC
SAI_17           ,35.224,59.202,134.171,-1.704,0.366,0.031,-0.376,-0.587,8.9,      ,37,MWSC
ASCC_8           ,35.247,59.689,134.017,-1.241,0.392,0.024,-0.669,-0.481,7.77,      ,134,MWSC
Berkeley_64      ,35.413,65.908,131.969,4.632,0.23,0.021,-0.603,0.8,9,      ,62,MWSC
NGC_884          ,35.457,57.161,134.982,-3.58,0.407,0.025,-0.586,-1.127,7.2,      ,499,MWSC
NGC_886          ,35.921,63.784,132.908,2.713,0.976,0.034,3.072,-4.059,8.75,      ,31,MWSC
IRAS_02232+6138  ,36.719,61.993,133.884,1.168,0.506,0.03,-0.751,-0.233,6.85,      ,38,MWSC
FSR_0584         ,36.827,61.622,134.065,0.84,0.473,0.026,-0.575,-0.567,9.1,      ,11,MWSC
FSR_0591         ,36.922,58.758,135.146,-1.812,0.404,0.022,-0.14,-0.731,6.85,      ,36,MWSC
Tombaugh_4       ,37.291,61.783,134.211,1.071,0.37,0.024,-1.068,-0.21,8.64,      ,81,MWSC
Teutsch_55       ,37.374,62.069,134.142,1.35,0.399,0.021,-0.604,-0.124,8.735,      ,75,MWSC
FSR_0568         ,37.272,72.171,130.332,10.717,0.294,0.023,-0.306,0.551,9,0.029,65,MWSC
Stock_7          ,37.411,60.651,134.683,0.04,1.466,0.041,-3.464,0.479,7.8,      ,20,MWSC
FSR_0620         ,37.672,51.796,138.131,-8.123,0.376,0.024,-0.217,-1.195,8.84,0.113,63,MWSC
FSR_0569         ,37.784,72.504,130.35,11.084,0.473,0.025,-1.118,0.746,8.375,      ,31,MWSC
NGC_956          ,37.999,44.573,141.165,-14.709,0.409,0.027,-0.118,-1.186,9.1,      ,39,MWSC
IC_1805          ,38.226,61.477,134.738,0.953,0.442,0.024,-0.844,-0.41,7.25,      ,93,MWSC
Czernik_8        ,38.254,58.764,135.786,-1.549,0.391,0.025,0.212,-0.823,8.175,      ,52,MWSC
NGC_957          ,38.392,57.563,136.313,-2.631,0.412,0.025,-0.307,-1.081,7.25,      ,126,MWSC
Czernik_9        ,38.402,59.866,135.434,-0.503,0.363,0.019,-0.976,-0.043,8.75,      ,39,MWSC
Czernik_10       ,38.507,60.183,135.36,-0.189,0.34,0.024,-1.167,0.287,8.502,0.051,29,MWSC
SAI_21           ,38.71,62.585,134.521,2.063,0.514,0.036,-0.594,0.076,8.95,      ,57,MWSC
King_4           ,39.034,59.033,136.053,-1.146,0.41,0.027,-0.614,-0.224,8.205,0.02,65,MWSC
Trumpler_2       ,39.331,55.921,137.431,-3.941,1.473,0.048,1.536,-5.404,7.925,      ,80,MWSC
Berkeley_65      ,39.775,60.409,135.849,0.265,0.458,0.032,-0.664,-0.439,7.2,      ,51,MWSC
Czernik_12       ,39.863,54.913,138.114,-4.743,0.497,0.028,-0.302,0.846,9.1,      ,28,MWSC
NGC_1039         ,40.546,42.724,143.692,-15.638,2.005,0.046,0.649,-5.789,8.383,0.077,183,MWSC
FSR_0614         ,40.633,56.722,137.765,-2.916,0.5,0.031,-0.193,-1.2,6.75,      ,34,MWSC
NGC_1027         ,40.676,61.609,135.756,1.54,0.892,0.032,-1.762,2.024,8.55,      ,92,MWSC
Czernik_13       ,41.112,62.332,135.64,2.282,0.318,0.022,0.441,-0.244,6.855,      ,56,MWSC
ASCC_9           ,41.754,57.747,137.882,-1.73,0.403,0.026,0.106,-1.103,7,      ,106,MWSC
Teutsch_162      ,41.948,61.966,136.149,2.118,0.371,0.025,-0.331,0.084,7,      ,23,MWSC
IC_1848          ,42.754,60.432,137.171,0.909,0.45,0.023,-0.401,-0.413,6.85,      ,99,MWSC
IRAS_02497+6217  ,43.669,62.531,136.616,2.98,0.411,0.031,-0.117,-0.2,6.8,      ,24,MWSC
FSR_0581         ,44.144,68.849,133.858,8.675,0.709,0.024,-1.302,0.307,8.4,      ,14,MWSC
IRAS_02541+6208  ,44.786,62.276,137.194,2.995,0.268,0.02,-0.067,0.102,6.65,      ,123,MWSC
SAI_24           ,44.86,60.557,138.036,1.495,0.468,0.024,-0.253,-0.009,7.2,      ,47,MWSC
SAI_25           ,45.101,57.277,139.698,-1.335,0.401,0.034,0.045,-0.638,9.185,0.029,37,MWSC
Berkeley_66      ,46.034,58.729,139.433,0.176,0.2,0.11,-0.146,-0.083,9.15,      ,49,MWSC
NGC_1193         ,46.478,44.379,146.811,-12.169,0.296,0.021,-0.054,-0.502,9.3,      ,24,MWSC
FSR_0612         ,47.584,64.262,137.317,5.342,0.247,0.024,-0.247,0.164,9.092,0.037,21,MWSC
NGC_1220         ,47.923,53.352,143.036,-3.955,0.331,0.025,0.236,-0.774,8.2,      ,20,MWSC
Trumpler_3       ,48.025,63.198,138.032,4.528,1.476,0.039,-3.377,-0.135,8.005,      ,98,MWSC
NGC_1245         ,48.678,47.236,146.649,-8.93,0.302,0.022,0.471,-1.653,9.025,0.011,196,MWSC
King_5           ,48.683,52.696,143.768,-4.28,0.413,0.028,-0.296,-1.257,9.09,0.02,132,MWSC
Stock_23         ,48.975,60.48,139.831,2.442,1.636,0.036,-4.308,-0.969,8.3,      ,89,Cantat-Gaudin et al. 2018
Czernik_14       ,49.253,58.604,140.939,0.918,0.303,0.021,-0.529,-0.421,8.584,0.035,37,MWSC
B_35             ,85.896,9.125,196.837,-10.606,0.307,0.03,0.607,-0.366,8.92,      ,76,MWSC
FSR_0628         ,50.784,60.557,140.542,2.981,0.244,0.141,-0.099,0.076,9.25,      ,43,MWSC
Melotte_20       ,51.861,48.873,147.543,-6.377,5.741,0.046,22.828,-25.607,7.7,      ,228,MWSC
ASCC_10          ,51.71,34.993,155.604,-17.837,1.53,0.05,-1.811,-1.444,8.717,0.03,43,MWSC
King_6           ,51.988,56.451,143.343,-0.087,1.376,0.04,3.866,-1.895,8.975,      ,110,MWSC
Alessi_13        ,51.816,-35.641,237.256,-55.841,9.584,0.05,36.241,-4.489,8.72,      ,48,Cantat-Gaudin et al. 2018
NGC_1333         ,52.283,31.341,158.312,-20.487,3.384,0.088,7.086,-9.947,6.8,      ,50,Cantat-Gaudin et al. 2018
Czernik_16       ,52.77,52.604,145.898,-3,0.372,0.025,0.843,-2.2,7.3,      ,47,MWSC
NGC_1342         ,52.999,37.344,155.032,-15.326,1.53,0.046,0.423,-1.622,8.6,      ,101,MWSC
ASCC_11          ,53.068,44.857,150.552,-9.218,1.171,0.042,0.912,-3.059,8.345,      ,96,MWSC
FSR_0632         ,53.26,59.217,142.324,2.572,0.525,0.038,0.753,-0.457,8.35,      ,37,MWSC
Berkeley_9       ,53.175,52.647,146.075,-2.823,0.566,0.042,1.48,-0.017,9.3,0.041,70,MWSC
NGC_1348         ,53.537,51.406,146.976,-3.706,0.454,0.025,1.169,-0.835,8.45,      ,37,MWSC
Berkeley_10      ,54.881,66.489,138.613,8.881,0.389,0.024,-1.467,0.998,8.81,0.025,84,MWSC
IC_348           ,56.12,32.155,160.481,-17.821,3.144,0.058,4.651,-6.378,6.78,      ,32,MWSC
Juchert_11       ,56.843,53.897,147.087,-0.512,0.306,0.151,1.508,-0.396,8.9,      ,16,MWSC
Melotte_22       ,54.912,23.388,165.726,-25.186,0.629,0.058,3.432,-5.021,8.15,      ,30,MWSC
Tombaugh_5       ,56.995,59.067,143.95,3.6,0.577,0.031,0.452,-2.438,8.846,0.014,215,MWSC
NGC_1444         ,57.338,52.647,148.096,-1.307,0.95,0.044,-0.608,-1.718,6.85,      ,24,MWSC
Juchert_9        ,58.834,58.394,145.117,3.68,0.241,0.02,-0.306,-0.098,6.7,      ,39,MWSC
King_7           ,59.766,51.8,149.782,-1.013,0.341,0.023,1.119,-1.16,8.85,0.014,123,MWSC
Alicante_1       ,59.783,57.244,146.248,3.13,0.312,0.022,0.166,-0.082,6.35,      ,25,MWSC
FSR_0689         ,60.807,41.307,157.257,-8.442,0.25,0.019,0.959,-0.694,9.2,      ,29,MWSC
NGC_1496         ,61.107,52.665,149.832,0.179,0.616,0.029,1.473,-0.784,8.85,      ,58,Cantat-Gaudin et al. 2018
FSR_0667         ,61.765,51.137,151.155,-0.688,0.864,0.035,0.841,-3.87,8.08,      ,37,Cantat-Gaudin et al. 2018
NGC_1502         ,61.962,62.336,143.671,7.662,0.949,0.034,-0.636,-0.898,7.08,      ,76,MWSC
NGC_1513         ,62.434,49.509,152.568,-1.603,0.674,0.03,1.306,-3.686,8.5,      ,121,MWSC
FSR_0674         ,63.126,48.715,153.441,-1.875,0.33,0.026,-0.884,-0.848,8.56,      ,37,MWSC
NGC_1528         ,63.865,51.146,152.113,0.217,0.963,0.037,2.122,-2.296,8.55,      ,90,MWSC
FSR_0765         ,64.521,26.205,170.347,-17.096,0.49,0.028,0.886,-2.226,9.315,0.036,58,MWSC
Waterloo_1       ,64.666,52.844,151.286,1.779,0.315,0.024,0.318,-0.811,8.6,0.078,46,MWSC
IC_361           ,64.741,58.251,147.515,5.663,0.262,0.022,1.677,-1.178,8.982,0.022,159,MWSC
Berkeley_11      ,65.129,44.927,157.063,-3.646,0.379,0.029,1,-1.9,8.7,      ,47,MWSC
NGC_1545         ,65.284,50.229,153.397,0.188,0.368,0.021,0.3,-0.963,8.81,0.017,33,MWSC
NGC_1548         ,65.355,36.933,162.896,-9.156,0.239,0.017,1.051,-1.408,9.02,0.035,38,MWSC
FSR_0762         ,65.463,27.27,170.13,-15.755,0.551,0.047,-0.152,-1.086,8.3,      ,11,MWSC
FSR_0756         ,66.056,29.708,168.646,-13.716,0.52,0.033,0.412,-1.6,8.795,0.029,37,MWSC
Czernik_18       ,66.963,30.926,168.27,-12.315,0.752,0.041,1.749,-3.084,8.68,      ,35,MWSC
NGC_1582         ,67.963,43.743,159.328,-3.013,1.004,0.033,2.183,-1.408,8.665,0.069,50,MWSC
NGC_1605         ,68.739,45.271,158.582,-1.569,0.326,0.027,0.894,-2.023,7.61,      ,74,MWSC
Platais_3        ,69.678,71.308,139.135,16.04,5.646,0.043,3.606,-20.849,8.8,      ,90,Cantat-Gaudin et al. 2018
IRAS_04324+5106  ,69.031,51.175,154.353,2.557,0.631,0.046,0.663,-1.128,8.38,0.141,35,MWSC
Berkeley_67      ,69.461,50.761,154.842,2.48,0.467,0.03,2.271,-1.423,9.242,0.029,70,MWSC
FSR_0768         ,69.904,29.765,170.875,-11.18,0.404,0.028,0.866,-2.329,8.85,      ,25,MWSC
Berkeley_68      ,71.084,42.124,162.062,-2.393,0.298,0.02,2.188,-1.353,9.11,      ,53,MWSC
Berkeley_12      ,71.093,42.683,161.642,-2.023,0.228,0.018,0.754,-1.77,9.6,      ,101,MWSC
NGC_1647         ,71.479,19.107,180.343,-16.776,1.695,0.043,-1.1,-1.508,8.3,0.057,249,MWSC
Alessi_2         ,71.501,55.236,152.266,6.345,0.308,0.024,0.593,-0.5,8.698,0.033,92,MWSC
FSR_0767         ,71.915,31.527,170.632,-8.723,0.446,0.038,1.419,-1.488,9.35,      ,31,MWSC
NGC_1662         ,72.136,10.852,187.784,-21.143,2.439,0.056,-1.185,-1.973,8.695,0.036,67,MWSC
NGC_1663         ,72.347,13.195,185.868,-19.625,0.533,0.036,1.13,-1.252,9.4,      ,32,MWSC
ASCC_12          ,72.448,41.696,163.045,-1.895,0.357,0.015,0.795,-1.367,8.63,0.017,56,MWSC
FSR_0742         ,72.671,38.134,165.899,-4.039,0.666,0.04,0.907,-2.209,8.95,      ,21,MWSC
NGC_1664         ,72.75,43.679,161.662,-0.458,0.74,0.031,1.565,-5.755,8.75,0.023,135,MWSC
FSR_0735         ,73.484,40.875,164.175,-1.817,0.32,0.022,0.452,-2.157,8.795,0.048,66,Cantat-Gaudin et al. 2018
Teutsch_5        ,73.947,36.778,167.595,-4.108,0.482,0.037,0.073,-1.565,9.38,      ,49,MWSC
NGC_4103         ,181.661,-61.251,297.571,1.153,0.495,0.024,-6.208,0.179,7.755,      ,95,MWSC
Berkeley_13      ,73.964,52.813,155.074,5.931,0.286,0.024,-0.089,0.42,8.87,0.042,36,MWSC
Czernik_19       ,74.258,28.774,174.087,-8.856,0.395,0.027,0.936,-2.139,7.835,      ,68,MWSC
Skiff_J0458+43.0 ,74.532,42.989,163.014,0.115,0.362,0.026,0.436,-1.449,8.7,      ,64,MWSC
FSR_0744         ,74.895,37.942,167.149,-2.794,0.795,0.037,0.878,-2.471,8.85,      ,65,MWSC
Berkeley_14      ,74.938,43.48,162.812,0.651,0.209,0.017,1.381,0.386,9.3,      ,47,MWSC
FSR_0722         ,75.444,44.123,162.53,1.335,0.323,0.026,0.245,-1.341,8.8,      ,44,MWSC
Berkeley_15      ,75.516,44.508,162.257,1.611,0.391,0.031,0.586,-1.002,9.4,      ,84,MWSC
FSR_0690         ,75.716,50.092,157.905,5.122,0.377,0.027,0.593,-1.171,9,      ,73,MWSC
NGC_1708         ,75.867,52.879,155.729,6.881,0.176,0.139,0.331,-0.639,8.755,0.034,35,MWSC
FSR_0771         ,75.922,32.167,172.251,-5.655,0.632,0.036,1.488,-4.193,8.515,0.036,22,MWSC
NGC_1746         ,75.999,23.708,179.148,-10.651,1.38,0.041,-0.992,-2.409,8.64,0.025,155,MWSC
FSR_0841         ,76.578,21.536,181.262,-11.489,0.494,0.032,1.72,-1.796,8.68,      ,27,MWSC
Bica_6           ,76.572,39.193,166.957,-0.993,0.504,0.029,1.013,-1.866,9.19,0.027,39,MWSC
