Seq,Cluster,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,plx,e_plx,u_plx,pmRA*,e_pmRA*,pmDE,e_pmDE,logt,e_logt,RV,s_RV,e_RV,o_RV,N,Ref,SimbadName
24,Mayer_1          ,5.516,0.079,61.74,0.06,119.462,-0.933,0.386,0.019,1,-3.304,0.083,-1.449,0.072,7.74,      ,       ,      ,     ,  ,42,MWSC                     ,Mayer 1                  
25,King_1           ,5.506,0.18,64.384,0.076,119.758,1.693,0.555,0.035,1,-4.942,0.009,-1.305,0.009,9.7,      ,-53.02,0.06,0.03,15,219,MWSC                     ,King 1                   
26,FSR_0477         ,5.742,0.09,51.898,0.056,118.469,-10.727,0.604,0.033,1,-1.262,0.379,-1.801,0.277,9.04,      ,-53.48,      ,0.06,1,67,MWSC                     ,[FSR2007] 0477           
27,SAI_4            ,5.906,0.085,62.714,0.013,119.75,0.014,0.316,0.016,1,-2.684,0.196,-0.782,0.099,8.8,0.069,       ,      ,     ,  ,29,MWSC                     ,SAI 4                    
28,Stock_20         ,6.329,0.12,62.599,0.062,119.932,-0.121,0.374,0.022,1,-2.523,0.162,-0.932,0.078,8.337,      ,       ,      ,     ,  ,60,MWSC                     ,Stock 20                 
29,NGC_103          ,6.296,0.078,61.33,0.025,119.787,-1.381,0.281,0.019,1,-2.815,0.021,-1.07,0.022,8.565,0.057,-77.8,      ,0.02,1,76,MWSC                     ,NGC 103                  
30,Berkeley_2       ,6.295,0.075,60.387,0.034,119.691,-2.319,0.14,0.071,0,-1.19,0.032,-0.485,0.026,8.98,0.033,-76.35,      ,0.16,1,68,MWSC                     ,Berkeley 2               
31,FSR_0494         ,6.413,0.087,63.759,0.044,120.086,1.03,0.242,0.021,1,-2.468,0.033,-0.902,0.027,9.3,      ,       ,      ,     ,  ,56,MWSC                     ,[FSR2007] 0494           
32,FSR_0496         ,6.633,0.175,64.021,0.059,120.208,1.281,0.656,0.032,1,2.202,0.018,-0.679,0.023,9.055,0.049,-22.53,0.12,0.03,9,89,MWSC                     ,[FSR2007] 0496           
33,NGC_110          ,6.967,0.056,71.453,0.056,121.039,8.668,0.274,0.013,1,-1.808,0.415,0.178,0.229,8.97,      ,-14.75,6.96,1.69,3,17,MWSC                     ,NGC 110                  
34,SAI_6            ,7.023,0.102,60.69,0.07,120.077,-2.052,0.301,0.019,1,-1.7,0.153,-0.605,0.098,8.7,0.061,       ,      ,     ,  ,92,MWSC                     ,SAI 6                    
35,FSR_0481         ,7.227,0.032,43.285,0.055,118.588,-19.396,0.587,0.039,1,-1.447,0.367,-1.453,0.422,9.1,      ,       ,      ,     ,  ,28,MWSC                     ,[FSR2007] 0481           
36,FSR_0498         ,7.334,0.237,62.388,0.088,120.374,-0.374,0.36,0.019,1,-3.287,0.008,-0.76,0.008,8.55,      ,       ,      ,     ,  ,51,Cantat-Gaudin et al. 2018,[FSR2007] 0498           
37,FSR_0503         ,7.392,0.182,68.914,0.066,120.956,6.126,0.255,0.012,1,-1.591,0.111,-0.027,0.083,9.18,      ,-61.33,1.51,0.22,2,49,MWSC                     ,[FSR2007] 0503           
38,Stock_21         ,7.571,0.081,57.944,0.046,120.118,-4.812,0.468,0.029,1,-2.105,0.029,-1.903,0.026,8.825,      ,-35.08,      ,0.06,1,30,MWSC                     ,Stock 21                 
39,NGC_129          ,7.583,0.138,60.196,0.058,120.309,-2.568,0.531,0.024,1,-2.597,0.013,-1.187,0.013,7.975,      ,       ,      ,     ,  ,89,MWSC                     ,NGC 129                  
40,NGC_133          ,7.804,0.072,63.328,0.049,120.665,0.546,0.344,0.02,1,-2.192,0.353,-0.351,0.227,7.3,      ,       ,      ,     ,  ,19,MWSC                     ,NGC 133                  
41,NGC_136          ,7.924,0.086,61.516,0.041,120.58,-1.266,0.195,0.015,1,-1.6,0.058,-0.527,0.069,8.4,      ,-47.38,      ,0.97,1,32,MWSC                     ,NGC 136                  
42,King_14          ,8.003,0.113,63.174,0.05,120.743,0.385,0.403,0.025,1,-3.263,0.017,-1.088,0.01,7.7,      ,       ,      ,     ,  ,49,MWSC                     ,King 14                  
43,King_15          ,8.178,0.053,61.896,0.047,120.728,-0.895,0.33,0.024,1,-1.975,0.168,-0.849,0.08,8.4,      ,       ,      ,     ,  ,30,MWSC                     ,King 15                  
44,NGC_146          ,8.124,0.128,63.229,0.054,120.801,0.436,0.402,0.025,1,-3.266,0.038,-1.041,0.033,7.701,0.214,       ,      ,     ,  ,21,MWSC                     ,NGC 146                  
45,NGC_189          ,9.873,0.097,61.118,0.049,121.489,-1.72,0.779,0.026,1,0.304,0.036,-3.363,0.032,8.709,0.047,-29.36,      ,0.08,1,27,MWSC                     ,NGC 189                  
46,Stock_24         ,9.93,0.1,61.973,0.031,121.555,-0.867,0.343,0.021,1,-1.34,0.049,-0.057,0.028,7.985,      ,       ,      ,     ,  ,44,MWSC                     ,Stock 24                 
47,Dolidze_12       ,10.19,0.167,60.867,0.057,121.632,-1.978,0.362,0.024,1,-2.517,0.154,-0.73,0.076,9.135,0.022,       ,      ,     ,  ,30,MWSC                     ,Dolidze 12               
48,FSR_0508         ,10.463,0.059,64.97,0.032,121.918,2.117,0.368,0.033,1,-2.113,0.176,-0.445,0.095,6.67,      ,       ,      ,     ,  ,34,MWSC                     ,[FSR2007] 0508           
49,Dias_1           ,10.642,0.119,64.056,0.054,121.962,1.201,0.347,0.023,1,-2.678,0.041,-0.56,0.026,7.9,      ,       ,      ,     ,  ,70,MWSC                     ,Dias 1                   
50,NGC_225          ,10.655,0.137,61.786,0.075,121.89,-1.068,0.469,0.037,1,-2.039,0.2,-1.1,0.15,8.191,0.058,       ,      ,     ,  ,31,MWSC                     ,NGC 225                  
51,Czernik_2        ,10.953,0.084,60.18,0.044,121.983,-2.677,0.514,0.03,1,-3.994,0.068,-1.026,0.037,9.123,0.036,       ,      ,     ,  ,21,MWSC                     ,Czernik 2                
52,King_16          ,10.909,0.136,64.173,0.048,122.082,1.314,0.331,0.021,1,-2.79,0.057,-0.488,0.034,7.8,      ,       ,      ,     ,  ,86,MWSC                     ,King 16                  
53,FSR_0507         ,11.012,0.088,52.389,0.071,121.786,-10.466,0.474,0.038,1,-0.619,0.272,-1.244,0.144,9,      ,       ,      ,     ,  ,31,MWSC                     ,[FSR2007] 0507           
54,Berkeley_4       ,11.269,0.17,64.396,0.071,122.244,1.533,0.315,0.022,1,-2.342,0.024,-0.285,0.019,7.3,      ,       ,      ,     ,  ,118,MWSC                     ,Berkeley 4               
55,NGC_188          ,11.87,1.744,85.239,0.14,122.843,22.37,0.525,0.025,1,-2.326,0.006,-1.023,0.007,9.65,      ,-42.81,0.08,0.03,10,299,MWSC                     ,NGC 188                  
56,Berkeley_61      ,12.094,0.147,67.183,0.048,122.634,4.313,0.351,0.028,1,-1.786,0.263,-0.129,0.252,8.985,0.015,-34.64,      ,0.21,1,56,MWSC                     ,Berkeley 61              
57,Dolidze_13       ,12.501,0.117,64.115,0.043,122.775,1.244,0.298,0.023,1,-2.07,0.069,-0.257,0.05,8.962,0.04,       ,      ,     ,  ,68,MWSC                     ,Dolidze 13               
58,FSR_0515         ,12.687,0.061,54.787,0.029,122.832,-8.084,0.406,0.025,1,-0.998,0.25,-1.202,0.191,9.275,      ,-113.85,      ,0.08,1,35,MWSC                     ,[FSR2007] 0515           
59,FSR_0516         ,12.551,0.227,66.002,0.056,122.806,3.131,0.275,0.019,1,-1.619,0.164,-0.04,0.087,8.83,0.052,-68.54,4.53,0.7,4,42,MWSC                     ,[FSR2007] 0516           
60,King_2           ,12.731,0.077,58.201,0.047,122.864,-4.67,0.154,0.075,0,-1.387,0.022,-0.858,0.028,9.67,      ,       ,      ,     ,  ,37,MWSC                     ,King 2                   
61,FSR_0519         ,13.161,0.145,64.65,0.056,123.061,1.778,0.34,0.017,1,-2.15,0.117,-0.221,0.08,7.35,      ,       ,      ,     ,  ,34,MWSC                     ,[FSR2007] 0519           
62,FSR_0521         ,13.252,0.096,59.859,0.055,123.129,-3.012,0.279,0.015,1,-0.894,0.119,-0.297,0.111,9.21,0.053,       ,      ,     ,  ,54,MWSC                     ,[FSR2007] 0521           
63,ASCC_4           ,13.37,0.28,61.625,0.082,123.175,-1.246,0.542,0.02,1,-1.59,0.395,-0.256,0.268,8.65,      ,       ,      ,     ,  ,71,MWSC                     ,[KPR2005] 4              
64,Alessi_1         ,13.311,0.264,49.515,0.129,123.233,-13.355,1.414,0.032,1,6.505,0.106,-6.393,0.067,8.84,      ,-3.95,0.22,0.1,4,30,MWSC                     ,Cl Alessi 1              
65,FSR_0522         ,13.432,0.092,65.788,0.026,123.167,2.917,0.259,0.012,1,-1.735,0.125,-0.357,0.127,8.55,      ,       ,      ,     ,  ,40,MWSC                     ,[FSR2007] 0522           
66,FSR_0524         ,14.349,0.086,62.125,0.027,123.628,-0.738,0.251,0.017,1,-1.656,0.04,-0.3,0.046,9.19,      ,-72.39,      ,0.7,1,43,MWSC                     ,[FSR2007] 0524           
67,ASCC_5           ,14.407,0.154,55.888,0.095,123.806,-6.973,0.221,0.086,0,-1.368,0.075,-0.657,0.096,7.78,      ,       ,      ,     ,  ,37,MWSC                     ,[KPR2005] 5              
68,Skiff_J0058+68.4 ,14.596,0.29,68.466,0.111,123.572,5.603,0.365,0.024,1,-2.067,0.008,0.317,0.007,9.01,0.012,-22.83,0.13,0.05,6,158,MWSC                     ,Skiff J0058+68.4         
69,Berkeley_62      ,15.293,0.135,63.928,0.053,124.002,1.076,0.342,0.023,1,-2.055,0.056,-0.332,0.045,7.3,      ,       ,      ,     ,  ,83,MWSC                     ,Berkeley 62              
70,Czernik_3        ,15.8,0.06,62.794,0.04,124.276,-0.047,0.399,0.022,1,-0.357,0.36,-0.374,0.156,8.8,      ,-43.53,5.71,1.03,3,31,MWSC                     ,Czernik 3                
71,NGC_366          ,16.617,0.117,62.219,0.051,124.682,-0.602,0.356,0.024,1,-2.066,0.032,-0.513,0.028,7.9,      ,83.14,      ,1.88,1,71,MWSC                     ,NGC 366                  
72,NGC_381          ,17.108,0.133,61.592,0.066,124.952,-1.213,0.862,0.03,1,1.588,0.023,-2.33,0.021,8.85,0.029,       ,      ,     ,  ,70,MWSC                     ,NGC 381                  
73,Stock_3          ,18.094,0.1,62.259,0.044,125.366,-0.514,0.359,0.019,1,-1.85,0.149,-0.426,0.124,7.85,      ,       ,      ,     ,  ,38,MWSC                     ,Stock 3                  
74,NGC_433          ,18.817,0.085,60.14,0.049,125.897,-2.594,0.482,0.031,1,-1.463,0.031,-0.811,0.026,7.81,      ,       ,      ,     ,  ,66,MWSC                     ,NGC 433                  
75,NGC_436          ,18.995,0.087,58.831,0.046,126.11,-3.889,0.284,0.019,1,-0.975,0.018,-0.641,0.016,7.925,      ,-101.59,      ,2.19,1,76,MWSC                     ,NGC 436                  
76,FSR_0537         ,19.712,0.07,60.35,0.041,126.319,-2.341,0.273,0.019,1,-1.081,0.015,-0.886,0.017,9,      ,       ,      ,     ,  ,52,Cantat-Gaudin et al. 2018,[FSR2007] 0537           
77,NGC_457          ,19.884,0.132,58.28,0.076,126.63,-4.39,0.329,0.02,1,-1.577,0.022,-0.755,0.028,7.38,      ,83.39,      ,0.12,1,153,MWSC                     ,NGC 457                  
78,FSR_0544         ,19.955,0.146,52.672,0.077,127.293,-9.959,0.351,0.021,1,-1.133,0.223,-0.899,0.092,8.906,0.02,-78.17,2.16,0.62,2,12,MWSC                     ,[FSR2007] 0544           
79,FSR_0536         ,19.919,0.108,63.058,0.053,126.124,0.361,0.269,0.019,1,-1.671,0.033,-0.159,0.032,8.397,      ,       ,      ,     ,  ,69,MWSC                     ,[FSR2007] 0536           
80,FSR_0538         ,20.493,0.108,63.675,0.047,126.309,1.004,0.443,0.026,1,-1.339,0.207,-0.056,0.169,8.86,0.018,-76.28,      ,0.29,1,73,MWSC                     ,[FSR2007] 0538           
81,FSR_0542         ,21.403,0.16,62.996,0.062,126.8,0.381,0.351,0.022,1,-1.953,0.117,-0.256,0.086,8.35,      ,       ,      ,     ,  ,90,MWSC                     ,[FSR2007] 0542           
82,SAI_14           ,21.467,0.082,62.635,0.047,126.877,0.027,0.264,0.024,1,-1.579,0.185,-0.541,0.159,9.45,      ,       ,      ,     ,  ,74,MWSC                     ,SAI 14                   
83,FSR_0560         ,21.942,0.063,44.162,0.059,129.779,-18.226,0.72,0.029,1,1.811,0.55,-2.597,0.289,8.355,      ,       ,      ,     ,  ,22,MWSC                     ,[FSR2007] 0560           
84,NGC_559          ,22.383,0.16,63.307,0.057,127.194,0.751,0.334,0.022,1,-4.273,0.01,0.204,0.009,8.8,      ,-77.3,0.11,0.08,7,95,MWSC                     ,NGC 559                  
85,NGC_581          ,23.319,0.133,60.668,0.069,128.037,-1.789,0.358,0.022,1,-1.385,0.021,-0.574,0.024,7.44,      ,       ,      ,     ,  ,84,MWSC                     ,NGC 581                  
86,FSR_0531         ,23.5,0.281,74.734,0.081,125.782,12.098,0.246,0.018,1,-0.68,0.22,0.496,0.132,9.4,      ,-65.34,      ,0.1,1,43,MWSC                     ,[FSR2007] 0531           
87,Czernik_4        ,23.875,0.044,61.488,0.027,128.166,-0.936,0.413,0.027,1,-1.074,0.285,-0.019,0.432,7.715,      ,       ,      ,     ,  ,19,MWSC                     ,Czernik 4                
88,Trumpler_1       ,23.928,0.06,61.285,0.03,128.225,-1.131,0.327,0.02,1,-1.51,0.052,-0.529,0.053,7.1,      ,       ,      ,     ,  ,29,MWSC                     ,Trumpler 1               
89,NGC_609          ,24.1,0.112,64.53,0.031,127.744,2.079,0.169,0.014,1,-0.707,0.021,-0.101,0.026,9.15,      ,-55.49,1.89,0.21,4,79,MWSC                     ,NGC 609                  
90,FSR_0546         ,24.34,0.185,65.838,0.072,127.613,3.385,0.306,0.022,1,-1.133,0.21,0.231,0.105,9,      ,-112.13,      ,0.17,1,75,MWSC                     ,[FSR2007] 0546           
91,FSR_0551         ,24.966,0.165,64.859,0.071,128.049,2.47,1.085,0.035,1,0.059,0.024,-1.494,0.021,6.68,      ,-23.49,      ,0.73,1,52,Cantat-Gaudin et al. 2018,[FSR2007] 0551           
92,FSR_0553         ,25.196,0.084,64.526,0.046,128.208,2.161,0.374,0.031,1,-3.341,0.039,0.029,0.048,8.6,      ,       ,      ,     ,  ,19,MWSC                     ,[FSR2007] 0553           
93,NGC_637          ,25.753,0.117,64.048,0.053,128.539,1.739,0.31,0.016,1,-1.316,0.08,-0.067,0.043,6.74,      ,       ,      ,     ,  ,31,MWSC                     ,NGC 637                  
94,FSR_0539         ,25.745,0.23,74.407,0.06,126.444,11.888,0.467,0.031,1,-0.365,0.215,0.061,0.153,9.305,0.053,-20.48,      ,0.44,1,53,MWSC                     ,[FSR2007] 0539           
95,NGC_657          ,25.817,0.064,55.831,0.045,130.211,-6.307,0.27,0.02,1,-1.107,0.34,-1.199,0.279,9,      ,-61.36,      ,0.04,1,33,MWSC                     ,NGC 657                  
96,NGC_654          ,25.996,0.123,61.886,0.052,129.08,-0.357,0.331,0.021,1,-1.11,0.033,-0.322,0.023,7.25,      ,       ,      ,     ,  ,70,MWSC                     ,NGC 654                  
97,NGC_659          ,26.098,0.124,60.669,0.058,129.375,-1.538,0.31,0.021,1,-0.861,0.025,-0.338,0.022,7.762,0.193,77.81,      ,1.82,1,94,MWSC                     ,NGC 659                  
98,NGC_663          ,26.589,0.216,61.224,0.087,129.493,-0.946,0.346,0.022,1,-1.132,0.007,-0.337,0.009,7.5,      ,       ,      ,     ,  ,173,MWSC                     ,NGC 663                  
99,Collinder_463    ,27.267,0.703,71.765,0.226,127.458,9.403,1.15,0.029,1,-1.718,0.02,-0.33,0.025,8.45,0.066,       ,      ,     ,  ,92,MWSC                     ,Collinder 463            
100,ASCC_6           ,26.845,0.125,57.718,0.076,130.369,-4.343,0.632,0.025,1,-0.831,0.028,0.111,0.028,7.8,      ,       ,      ,     ,  ,33,MWSC                     ,[KPR2005] 6              
101,Berkeley_5       ,26.892,0.068,62.917,0.021,129.27,0.738,0.158,0.013,1,-1.25,0.233,0.115,0.247,8.83,      ,       ,      ,     ,  ,38,MWSC                     ,Berkeley 5               
102,Berkeley_6       ,27.803,0.128,61.062,0.069,130.1,-0.975,0.361,0.027,1,-0.963,0.035,-0.49,0.033,8.6,      ,       ,      ,     ,  ,142,MWSC                     ,Berkeley 6               
103,IC_166           ,28.121,0.154,61.866,0.062,130.062,-0.158,0.221,0.017,1,-1.436,0.01,1.07,0.01,9,0.011,-41.58,0.39,0.04,3,134,MWSC                     ,IC 166                   
104,Stock_4          ,28.279,0.187,57.015,0.107,131.285,-4.853,0.32,0.019,1,-0.754,0.179,-0.185,0.133,8.6,      ,       ,      ,     ,  ,37,MWSC                     ,Stock 4                  
105,Berkeley_7       ,28.57,0.101,62.369,0.046,130.146,0.381,0.347,0.023,1,-0.957,0.05,-0.334,0.037,7.25,      ,       ,      ,     ,  ,77,MWSC                     ,Berkeley 7               
106,Czernik_5        ,28.936,0.061,61.361,0.033,130.559,-0.555,0.341,0.026,1,-1.768,0.089,0.22,0.072,8.615,      ,       ,      ,     ,  ,86,MWSC                     ,Czernik 5                
107,NGC_752          ,29.171,0.512,37.791,0.335,136.916,-23.301,2.263,0.042,1,9.72,0.031,-11.822,0.027,9.13,      ,8.1,0.24,0.02,37,130,MWSC                     ,NGC 752                  
108,IRAS_01546+6319  ,29.349,0.406,63.471,0.207,130.218,1.537,0.258,0.019,1,-0.863,0.049,0.248,0.043,6.59,      ,-93.24,      ,0.07,1,187,MWSC                     ,IRAS 01546+6319          
109,NGC_744          ,29.642,0.17,55.471,0.095,132.407,-6.161,0.736,0.036,1,-1.875,0.018,-1.86,0.018,8.375,      ,       ,      ,     ,  ,65,MWSC                     ,NGC 744                  
110,NGC_743          ,29.628,0.129,60.138,0.063,131.195,-1.653,0.916,0.033,1,-0.082,0.025,-1.733,0.024,8.29,0.09,       ,      ,     ,  ,35,MWSC                     ,NGC 743                  
111,ASCC_7           ,29.8,0.164,58.915,0.093,131.595,-2.812,0.416,0.027,1,-0.654,0.121,-0.656,0.082,7.4,      ,       ,      ,     ,  ,108,MWSC                     ,[KPR2005] 7              
112,FSR_0558         ,30.151,0.118,67.806,0.035,129.412,5.808,0.347,0.024,1,-1.034,0.064,0.683,0.058,8.8,      ,       ,      ,     ,  ,46,MWSC                     ,[FSR2007] 0558           
113,Berkeley_8       ,30.367,0.302,75.468,0.066,127.379,13.204,0.283,0.017,1,2.669,0.015,0.351,0.013,9.3,      ,-27.96,0.06,0.03,7,102,MWSC                     ,Berkeley 8               
114,Czernik_6        ,30.46,0.134,62.85,0.046,130.864,1.068,0.382,0.024,1,-0.826,0.137,-0.072,0.082,7.98,      ,       ,      ,     ,  ,52,MWSC                     ,Czernik 6                
115,Czernik_7        ,30.762,0.102,62.245,0.07,131.163,0.523,0.375,0.027,1,-0.953,0.147,-0.164,0.113,9.116,0.017,-68.54,      ,0.02,1,84,MWSC                     ,Czernik 7                
116,Stock_5          ,31.091,0.193,64.361,0.096,130.72,2.598,1.027,0.027,1,-0.787,0.037,-2.173,0.043,7.7,      ,       ,      ,     ,  ,22,MWSC                     ,Stock 5                  
117,SAI_16           ,31.386,0.071,62.262,0.028,131.437,0.62,0.278,0.02,1,-0.813,0.06,-0.348,0.038,9.15,      ,-65.59,      ,0.07,1,35,MWSC                     ,SAI 16                   
118,FSR_0561         ,31.507,0.184,67.738,0.062,129.927,5.885,0.424,0.018,1,-0.449,0.182,0.301,0.084,8.24,0.07,-49.18,      ,0.12,1,26,MWSC                     ,[FSR2007] 0561           
119,Riddle_4         ,31.873,0.055,60.259,0.03,132.235,-1.232,0.38,0.028,1,-0.77,0.089,-0.463,0.104,7.35,      ,       ,      ,     ,  ,46,MWSC                     ,Riddle 4                 
120,IRAS_02044+6031  ,32.066,0.284,60.768,0.137,132.177,-0.717,0.419,0.023,1,-0.756,0.088,-0.311,0.074,6.25,      ,       ,      ,     ,  ,59,MWSC                     ,IRAS 02044+6031          
121,IRAS_02054+6011  ,32.183,0.13,60.434,0.059,132.331,-1.02,0.468,0.034,1,-0.486,0.124,-0.689,0.118,6.8,      ,       ,      ,     ,  ,31,MWSC                     ,IRAS 02054+6011          
122,Stock_2          ,33.729,1.119,59.625,0.528,133.314,-1.548,2.669,0.044,1,15.826,0.032,-13.712,0.03,8.44,      ,9.67,0.16,0.01,34,310,MWSC                     ,Stock 2                  
123,NGC_869          ,34.941,0.436,57.131,0.19,134.729,-3.703,0.406,0.025,1,-0.644,0.005,-1.149,0.005,7.28,      ,       ,      ,     ,  ,579,MWSC                     ,NGC 869                  
124,Berkeley_63      ,34.899,0.131,63.739,0.052,132.499,2.516,0.258,0.017,1,-0.82,0.116,0.098,0.068,8.9,      ,-69.39,1.69,0.21,3,62,MWSC                     ,Berkeley 63              
125,SAI_17           ,35.224,0.057,59.202,0.032,134.171,-1.704,0.366,0.031,1,-0.376,0.092,-0.587,0.073,8.9,      ,       ,      ,     ,  ,37,MWSC                     ,SAI 17                   
126,ASCC_8           ,35.247,0.255,59.689,0.109,134.017,-1.241,0.392,0.024,1,-0.669,0.045,-0.481,0.04,7.77,      ,       ,      ,     ,  ,134,MWSC                     ,[KPR2005] 8              
127,Berkeley_64      ,35.413,0.117,65.908,0.039,131.969,4.632,0.23,0.021,1,-0.603,0.059,0.8,0.062,9,      ,       ,      ,     ,  ,62,MWSC                     ,Berkeley 64              
128,NGC_884          ,35.457,0.426,57.161,0.16,134.982,-3.58,0.407,0.025,1,-0.586,0.006,-1.127,0.006,7.2,      ,       ,      ,     ,  ,499,MWSC                     ,NGC 884                  
129,NGC_886          ,35.921,0.205,63.784,0.051,132.908,2.713,0.976,0.034,1,3.072,0.032,-4.059,0.054,8.75,      ,-6.99,2.37,0.43,2,31,MWSC                     ,NGC 886                  
130,IRAS_02232+6138  ,36.719,0.204,61.993,0.082,133.884,1.168,0.506,0.03,1,-0.751,0.094,-0.233,0.091,6.85,      ,       ,      ,     ,  ,38,MWSC                     ,IRAS 02232+6138          
131,FSR_0584         ,36.827,0.026,61.622,0.023,134.065,0.84,0.473,0.026,1,-0.575,0.429,-0.567,0.395,9.1,      ,       ,      ,     ,  ,11,MWSC                     ,[FSR2007] 0584           
132,FSR_0591         ,36.922,0.088,58.758,0.04,135.146,-1.812,0.404,0.022,1,-0.14,0.15,-0.731,0.12,6.85,      ,       ,      ,     ,  ,36,MWSC                     ,[FSR2007] 0591           
133,Tombaugh_4       ,37.291,0.086,61.783,0.039,134.211,1.071,0.37,0.024,1,-1.068,0.038,-0.21,0.044,8.64,      ,-43.87,      ,0.25,1,81,MWSC                     ,Tombaugh 4               
